2	4.25	1	2.5	4	4	2.25	2	2.5	3.75	2	3	2.16666666666667	3	3	3.77777777777778	2	2	2.42857142857143	2	3.66666666666667	3	2.5	4	27	100	459	4	4	4	4	4	2	2	3	3	6	2	27	5	1	1	1	5	3	4	9	100	327	1	34	4	7	2	2	8	0	4	4
2	4.25	1	2.5	4	4	2.25	2	2.5	3.75	3	2.66666666666667	2	3	3	3.77777777777778	2	2	2.42857142857143	2	3.66666666666667	3.11111111111111	2.5	4.66666666666667	28	100	421	4	4	4	3	4	2	2	3	3	6	1	24	3	6	3	3	5	3	3	9	100	327	1	34	4	7	2	2	8	0	4	4
2	4.25	1	2.5	4	4	2.25	2	2.5	3.75	2	2.66666666666667	2	3	3	3.77777777777778	2	2	2.42857142857143	2	3.66666666666667	3.22222222222222	2.5	4.66666666666667	29	100	480	4	4	4	3	4	2	2	3	3	6	1	23	3	1	1	1	5	4	4	9	100	327	1	34	4	7	2	2	8	0	4	4
2	4.25	1	2.5	4	4	2.25	2	2.5	3.75	2	3	2.16666666666667	3	3.66666666666667	3.66666666666667	2	2	2	2	3.66666666666667	3.22222222222222	2.5	5	30	100	541	4	4	4	3	4	2	2	3	3	6	2	26	4	8	4	4	5	4	4	9	100	327	1	34	4	7	2	2	8	0	4	4
2.75	3.5	1	2.5	4	4.25	2.25	2	2.5	4	1.85714285714286	2.66666666666667	2.16666666666667	3.5	4	3.66666666666667	2	1.71428571428571	2.42857142857143	2	3.66666666666667	3.11111111111111	2.25	5	31	100	653	4	4	4	4	4	2	2	4	3	7	1	19	3	1	1	1	5	4	4	10	100	1149	2	55	5	22	4	7	4	0	4	4
2.75	3.5	1	2.5	4	4.25	2.25	2	2.5	4	2	2.33333333333333	2.33333333333333	3.5	4	3.77777777777778	2	2.14285714285714	2.42857142857143	2	3.66666666666667	3.11111111111111	2.5	5	32	100	572	4	4	4	3	4	2	2	3	3	6	2	25	4	2	2	2	5	4	4	10	100	1149	2	55	5	22	4	7	4	0	4	4
2	4.25	1	2.5	4	4	2.25	2	2.5	3.75	2	2	2	3	4	3.77777777777778	2	2	2.42857142857143	2	3.66666666666667	3.11111111111111	2.5	5	33	100	588	4	4	4	3	4	2	2	3	3	7	2	26	4	2	2	2	5	4	4	11	100	378	2	36	4	8	2	2	6	0	4	4
2	4.25	1	2.5	4	4	2.25	2	2.5	3.75	2	2.66666666666667	2	3	3	3.77777777777778	2	2	2.42857142857143	2	3.66666666666667	3.11111111111111	2.5	5	34	100	334	4	4	4	3	4	2	2	3	3	6	2	29	4	3	2	2	5	4	4	11	100	378	2	36	4	8	2	2	6	0	4	4
2	4.25	1	2.5	4	4	2.25	2	2.5	3.75	2	2.66666666666667	2	3	3	3.77777777777778	2	2	2.42857142857143	2	3.66666666666667	3.11111111111111	2.5	5	35	100	338	4	4	4	3	4	2	2	3	3	6	1	25	3	6	2	2	5	3	3	11	100	378	2	36	4	8	2	2	6	0	4	4
1	3.5	1.66666666666667	1	4	3.25	1.5	1	2.5	3.75	1.14285714285714	4.66666666666667	5.83333333333333	4.5	4.66666666666667	2.77777777777778	1.22222222222222	1	1	3.11111111111111	3.33333333333333	3.44444444444444	4.75	4	36	100	1383	5	3	2	3	3	2	5	5	5	9	2	32	4	1.5	1.5	1.5	3	2	5	12	100	2018	2	31	4	9	6	3	18	1	4	2
1	3.5	1.66666666666667	1	4	3.25	1.5	1	2.5	3.75	2	2	2	4	2.33333333333333	2.11111111111111	2.44444444444444	2.42857142857143	3.57142857142857	3.33333333333333	2.66666666666667	3.66666666666667	1.25	3.33333333333333	37	100	901	3	2	2	2	4	4	4	4	3	5	2	26	5	1	0	0	2	3	3	12	100	2018	2	31	4	9	6	3	18	1	4	2
1	3.5	1.66666666666667	1	4	3.25	1.5	1	2.5	3.75	1	1.66666666666667	1.83333333333333	3.5	4	3.55555555555556	2.33333333333333	1	1.42857142857143	1.44444444444444	3	3.22222222222222	1.25	6	38	100	2923	4	4	5	4	5	2	3	5	5	8	2	53	5	2	1.5	1.5	5	4	4	12	100	2018	2	31	4	9	6	3	18	1	4	2
1.75	4	2	1.25	3.75	3.5	1.25	1.5	1.75	3.5	1.28571428571429	2.66666666666667	5.16666666666667	3.5	4	3.33333333333333	1.66666666666667	1	1.28571428571429	2.44444444444444	3	3.22222222222222	5	3.66666666666667	39	100	86481	4	3	3	3	4	2	3	4	4	8	1	25	5	1	1	1	1	3	2	13	100	1762	1	50	4	4	4	4	25	1	4	3
