1	3.4	3	1	2.83333333333333	2.5	1	1	1	2.75	4	4	3.4	3.2	1	3.5	1.25	1	4	4	4	3.75	8.14285714285714	2.5	3.22222222222222	3.42857142857143	2	2.71428571428571	42	42	100	10879	1	1	58	4	19	19	19	18	0	5	5
1	3.8	3.5	1	3.16666666666667	2.16666666666667	1	1	1	2.5	3.75	4	4	3.2	2	4	1.875	3.25	4	3.57142857142857	3.5	4	8	1.375	1.55555555555556	2.28571428571429	1.11111111111111	3	43	43	100	5734	1	1	60	4	39	2	12	19	0	5	5
1	3.4	4.5	1	2	2.16666666666667	1.75	2	2	4.75	3.5	4	3.8	4.2	1.5	3.66666666666667	2.625	2.25	3.625	3	2	4.25	7.85714285714286	2.125	2.11111111111111	2.42857142857143	2	2.57142857142857	44	44	100	1891	1	2	40	5	6	6	0.25	20	1	3	3
1.25	4	4.75	1	1	2.5	2	1.11111111111111	1	3.5	3.25	3.75	3.8	3.4	2	3	2.25	1.25	3.625	3.57142857142857	2.25	3.75	8.57142857142857	1	2.88888888888889	2.85714285714286	1	3	45	45	100	1197309	1	1	40	5	12	2	10	53	0	5	1
1	3	3.5	1.33333333333333	1.5	1.83333333333333	1	1	1	2	3.5	3	2.4	3	1	3.66666666666667	1.25	1	3.875	3.57142857142857	3.25	2.5	8.28571428571429	1	1.33333333333333	1.57142857142857	1	2.71428571428571	46	46	100	2626	1	1	48	4	11	4	4	6	1	5	4
1.5	4.2	4.75	1.66666666666667	1.83333333333333	1.66666666666667	1.5	1.55555555555556	1.6	2.25	3.5	4	2.4	2.8	3	3.5	2.375	2.75	3.375	3.42857142857143	2.25	4.25	7.57142857142857	1.125	2.22222222222222	2.57142857142857	1	3	47	47	100	1362	1	2	52	4	20	0	6	26	1	5	3
1.75	3.6	3.5	1.33333333333333	2.83333333333333	1.66666666666667	1.75	1.22222222222222	1	3.75	4.5	2.5	4	3.8	1	4	2.5	1.5	3.75	2.57142857142857	3.5	3.25	8	2	3.22222222222222	3	1.88888888888889	2.28571428571429	48	48	100	6211	1	2	46	4	1	1	1	6	0	3	3
1.5	3	4.25	1.66666666666667	1.83333333333333	2.16666666666667	3.5	1.33333333333333	1	3.25	3.5	3.25	3.2	3.4	1.75	4	2.125	2.75	4	1.85714285714286	3	3.75	8	1.75	1.88888888888889	2.14285714285714	1.44444444444444	2.57142857142857	49	49	100	915	1	2	34	4	5	5	3	2	1	5	3
1.5	3	3.5	1.33333333333333	3.16666666666667	2.83333333333333	3.25	3.33333333333333	2.2	3.5	3.25	3	3.8	3.4	1.5	4.16666666666667	2.125	2.5	3.75	3.42857142857143	3	3.75	7.42857142857143	2.125	2.66666666666667	2	2.33333333333333	2.57142857142857	50	50	100	1332	1	2	26	5	5	3	2	4	1	5	2
1	4	4	1.66666666666667	2.5	1	1.25	1	1	3.5	3	2.75	4	4	1	4	1	1.5	3.75	4	1.75	3.5	6.57142857142857	1.875	2.22222222222222	1.42857142857143	2.11111111111111	2	51	51	100	910	1	1	56	4	7	7	7	25	0	4	4
3.75	2.8	3.5	1	5.33333333333333	3	3	1.88888888888889	2	2.5	4	3.25	2.8	3.6	3.75	3.5	2.375	4	4	4.85714285714286	4	4.5	7.71428571428571	3.5	4.22222222222222	4	3.11111111111111	2.28571428571429	52	52	100	1129	1	1	55	2	30	30	30	4	0	5	5
2.25	3.2	3.75	1	3	2.16666666666667	2.5	2	2	3	3.75	3.5	3.4	3.8	2.25	4.16666666666667	2.125	2.75	3.875	3.85714285714286	3	3.5	9	3	2.77777777777778	2.57142857142857	2.22222222222222	2.57142857142857	53	53	100	1649	1	1	32	3	12	5	5	4	0	5	5
2	3.4	3.25	2	4.83333333333333	3.33333333333333	4	1.22222222222222	1	3.5	4	3.5	3	2.8	3.25	3.66666666666667	3.375	4	4	4	4	3.75	9	2.25	3.22222222222222	3.57142857142857	2	2.85714285714286	54	54	100	1204	1	1	53	3	5	5	5	10	0	5	5
1	1.8	3	1	2	1.33333333333333	1.5	1	1	1.75	3	3	1.8	2.8	1	3.83333333333333	1.875	2	3.75	3.14285714285714	2.75	3.25	7.71428571428571	1.375	2.11111111111111	1.85714285714286	1.11111111111111	2.28571428571429	55	55	100	4337	1	2	60	3	30	25	25	3	0	4	4
1	4.8	5	1	1.66666666666667	1.5	1	1.11111111111111	1	3.75	3.75	3.5	4.4	4.8	2	3.66666666666667	1	1	4	3.57142857142857	1.25	3.75	8.14285714285714	1.125	2.22222222222222	2.85714285714286	1	2.42857142857143	56	56	100	918	1	2	44	4	4	2	2	50	0	4	4
2.25	4.2	3.75	1	2.33333333333333	1.66666666666667	1.5	1.55555555555556	2	3.25	3.75	4.25	3.6	3	2.75	4	1.125	2.25	3.625	4	3.25	3.75	6.85714285714286	1.875	1.77777777777778	2	1.11111111111111	2	57	57	100	4909	1	1	31	4	0.5	0.5	0.5	10	0	4	4
1.25	4	4.25	1.33333333333333	3	1.83333333333333	2	1.44444444444444	2	3.75	4.75	4.5	4.2	4.2	1.25	3	2	2	2.75	3.28571428571429	3	4.5	6.71428571428571	1.75	2.88888888888889	2.57142857142857	2	2.57142857142857	58	58	100	2194	1	2	46	4	2	2	12	5	0	4	3
3.25	3.6	3.5	1	4.16666666666667	3.83333333333333	4	2.22222222222222	2	3.75	4.25	4	4	3.8	2.75	4.5	2.5	3.25	3.75	4.57142857142857	3.25	3.75	8	2.625	3.11111111111111	3	2.33333333333333	2.71428571428571	59	59	100	14176	1	1	28	4	10	6	6	16	0	5	4
1	4.4	5	4	1	2.66666666666667	4.75	1	1	3.75	5	5	4.4	4.6	1.5	1.83333333333333	1.25	2.25	3.5	2.42857142857143	2	4.5	7.14285714285714	1.375	1.88888888888889	1.85714285714286	1	2.57142857142857	60	60	100	2152	1	2	30	4	7	7	4	17	0	4	4
2	3.6	3.25	5	2.33333333333333	2	2	1	1	2.75	4	3.75	3.4	4.4	5	2.5	2.875	2.25	3.75	3.71428571428571	4.5	4.5	6.28571428571429	1	1.77777777777778	3	1.66666666666667	1	61	61	100	3475	1	2	40	4	15.5	15.5	10	28	0	4	4
1.25	2.8	3.5	2	4	2.5	1	4	4	2	3	3.25	2.8	2.8	1	4.16666666666667	2.625	1	3.125	3.42857142857143	1.75	3.5	8	3	3	3	1.88888888888889	2.57142857142857	62	62	100	838699	1	2	29	4	6	6	5	3	1	4	3
2.5	4	3.25	1	1.83333333333333	2.33333333333333	2.75	1.11111111111111	1.2	2.5	3.25	2.75	3	3.2	2	3	2.125	2	3	1.71428571428571	3.5	3.5	8.14285714285714	2	1.88888888888889	1.28571428571429	1.44444444444444	2.71428571428571	63	63	100	1317587	1	3	25	5	5	5	2	5	0	4	4
1.75	4.2	3	1.66666666666667	3.16666666666667	2.16666666666667	4	1.77777777777778	2	4	4.75	3.5	4.2	4.4	4	4	3.25	2.75	3.875	3.85714285714286	4.5	5	7.71428571428571	2.375	2.88888888888889	3.42857142857143	2.66666666666667	2.42857142857143	64	64	100	8878	1	2	23	4	3	3	2	30	0	1	1
2.75	2.4	5	1.66666666666667	1.33333333333333	1.83333333333333	1	1.11111111111111	1	4.25	3.25	2.75	3.2	3	1.25	2.5	2.75	1.75	3.5	1.85714285714286	2.25	3.5	7.42857142857143	1.875	2.66666666666667	2.71428571428571	1.66666666666667	2.42857142857143	65	65	100	881	1	2	24	5	1.5	1.5	1.5	3	0	5	4
2	1.8	3	4.33333333333333	4.16666666666667	2.5	2.25	1.77777777777778	2	2.25	3.25	2.5	2	3	1.75	1.66666666666667	3.25	2	2.125	2	3.5	4.5	7	2	3.44444444444444	3.57142857142857	2.88888888888889	2	66	66	100	901	1	1	30	6	1	1	1	3	0	3	4
1	3.6	5	1	1.83333333333333	3.16666666666667	3	1	1.4	4.5	3.25	4	4.4	4.2	1	4.33333333333333	2.375	3.75	4.125	3.57142857142857	2	4	7.85714285714286	2.25	3	3.42857142857143	2.55555555555556	2.57142857142857	67	67	100	30970	1	1	24	4	1	1	1	9	0	4	4
1.5	3	4.5	1	2.66666666666667	1.83333333333333	1.75	1.33333333333333	1.6	3.25	4.25	3.5	2.6	4	2	3.5	1.25	2.25	3.875	5	3.5	3.25	8	2.125	2.55555555555556	2.57142857142857	1.33333333333333	2.71428571428571	68	68	100	1109	1	1	55	4	20	20	18	17	0	5	4
2.25	4.6	5	1	1.16666666666667	2.33333333333333	1.75	1.77777777777778	2.8	2.25	4.25	4.25	3.8	3.4	2.5	3.5	2.375	2.5	3.625	3.28571428571429	2.5	4.75	6.71428571428571	2.125	2.88888888888889	3	1.66666666666667	2.85714285714286	69	69	100	1132	1	2	53	6	14	4	4	4	1	3	4
1.75	2.4	4	1	2	1.33333333333333	2	1.11111111111111	1.2	2.25	3	4.25	2.2	2.6	1.25	3.66666666666667	1.25	2	3.75	5	3.25	3.25	8.14285714285714	1.5	1.88888888888889	2.42857142857143	1.22222222222222	2.28571428571429	70	70	100	8749	1	1	49	4	25	25	15	43	0	4	3
1	3.2	4	1	3	4.33333333333333	2.5	1.22222222222222	1.8	3.75	4.5	4.25	4.2	4.4	1.75	4.16666666666667	2.5	3	3.75	4.57142857142857	3.25	4.25	8.85714285714286	3.125	2.44444444444444	2.28571428571429	2.22222222222222	2.57142857142857	71	71	100	2655	1	1	28	2	9	6	4	8	0	5	4
2.5	3.2	3.75	1.33333333333333	3.33333333333333	2.16666666666667	4	1.55555555555556	2.4	3.5	4.5	3.75	3.6	3.4	2	3.83333333333333	3.75	3	4.125	4.42857142857143	4.5	4.25	8.57142857142857	2.25	2.33333333333333	2.85714285714286	1.55555555555556	2.71428571428571	72	72	100	10078	1	1	23	4	1	1	1	3	0	4	4
1	4.2	4.25	1.33333333333333	2	2.33333333333333	2.75	2	1.8	3.25	4	3.5	3.8	4	2.5	4	2	2.75	2.875	3	3	4	7.42857142857143	2.5	3.22222222222222	2.57142857142857	2.33333333333333	2.85714285714286	73	73	100	1257	1	2	55	4	30	1	15	20	0	5	5
